prompt,link
"Whitesharks

Music:",https://twitter.com/hausbomber/status/1703830665920483785
Embracing the magic of Midjourney art.,https://twitter.com/fenlandcrafts/status/1702277083966116169
"Every morning I brainwash myself...

I listen to motivational YouTube until my hustle flip gets switched. 

Some days it takes:

- 10 Minutes
- 30 Minutes
- 60 Minutes
- 69 Minutes

Not the sexiest morning routine but I have to do it or my days suck.

What do you do in the AM to… Show more",https://twitter.com/lukematthws/status/1666410440451305473/analytics
Good morning. Have a nice day.,https://twitter.com/rin22cal51yn/status/1703897687295250835
"Easy Minimal Compositions in 

Found a gem this morning while getting ready! The foundation is fairly short so that you can spin it in many directions.

Minimal Composition, cinematic dynamic lighting, muted colors --ar 21:9 --style raw --c 10",https://twitter.com/iamneubert/status/1703785995794260281
"""Blue Angel, ready for take off""",https://twitter.com/KIAI4RT/status/1703662190991954257
Good morning wherever in the world you are waking up,https://twitter.com/RollVeeTee/status/1703687863357825050
"Strong tokens in MidJourney. 

There are some tokens that carry more weight and are more influential than others. Discover these tokens and you'll be able to control the result you're looking for with fewer iterations. 

Two great tokens for photorealism are cinematic + 35mm.… Show more",https://twitter.com/prompt_mastery/status/1702658942348697961
5 default style,https://twitter.com/voxeloops/status/1703890694753112520
Curses! They are out of mayonnaise!,https://twitter.com/matterAfactART/status/1703841594258882901
Haunted ll,https://twitter.com/aiartjosie/status/1703630368669339914
"Good night, have a nice rest",https://twitter.com/maxim_wcg/status/1703469561109230008
"Amazing new Camera movements by 

 !

Try these parameters in your prompts:
-camera zoom in/out
-camera pan left/right/up/down
-camera rotate cw/acw",https://twitter.com/MatanCohenGrumi/status/1703848433386185073
A Happy Weekend！,https://twitter.com/club_kab/status/1703388194845475233/analytics
"Crystal Lights

Pillars of light decorate the skies, emanating from large crystals. They emit a chiming symphony as they gently resonate, filling the air with crystalline song.",https://twitter.com/AethericaArt/status/1703843153243992314
"Dungeon masters, would you use that map in one of your games? 

Is the Resolution high enough?
Is the perspective OK?
Is the Arstyle appropriate?
Do you prefer with or without a grid?",https://twitter.com/DMJeffChronicle/status/1703874065650389069
Have a nice evening!,https://twitter.com/sharonmawbry/status/1701660942914707564
Hey gorgeous people,https://twitter.com/cap_booya73/status/1703701430178099406
"The King is dead.
Long live the King!",https://twitter.com/beholdersai/status/1703858022450090094
Goodnight ! Dreaming of a swift release of  —v 5.3,https://twitter.com/DeRosaDesigns/status/1703952665154142488
Cat Angel,https://twitter.com/LTSmash420/status/1703191464480506309
The market.,https://twitter.com/mechanicmind_ai/status/1702390589164269590
Fantasy Island,https://twitter.com/sharonmawbry/status/1703046656948682762
"Goodnight , Dreaming of a new  update.",https://twitter.com/DeRosaDesigns/status/1703217615823339532
Good morning! Have a wonderful week ahead,https://twitter.com/cap_booya73/status/1703670312045269288
The Endless Painting,https://twitter.com/benjaminbardou/status/1702046853200581045
"Same prompt in Midjourney. MJ has more detailed mechanics, but Nijijourney has a better-looking face.",https://twitter.com/BittersweetAo3/status/1703438967650099364
"Something quite interesting going on with Midjourney. I've tried Sanskrit mantras as prompts in the past and this wasn't happening, so something's changed most recently.

It's generating a very curious profusion of detail and other-wordliness with Sanskrit in Devanagari

+",https://twitter.com/saamaanyafreaky/status/1703313773237580084
Blossoms Of Steel,https://twitter.com/RedsNotAnArtist/status/1703887554360009115
Embracing jungle life to the fullest. At least until the bugs come out.,https://twitter.com/Caelitus_/status/1703542679554912332
"Midjourney is the best text-to-image generation tool.

But it has a monthly subscription fee of $20.

Here are 10 Free AI Art Generator you can't afford to miss 

[Bookmark now ]",https://twitter.com/CodeWithNayeem/status/1703726032174674353
"First day rock climbing in Squamish, BC",https://twitter.com/GanJingWorld/status/1699980889852154231/analytics
"Serenity,  
Fragile, fleeting calm,  
Within, a shadow creeps,  
Battling chaos's relentless pull.",https://twitter.com/aiartjosie/status/1700594480209113527
"I am now using 8 weeks Midjourney, this was the very first version of my avatar Kerra.

Picture 2 is a advanced version with pink hair but without niji.

In picture set 3 we are back to niji, Kerra is still based on this today.",https://twitter.com/KIAI4RT/status/1703399794197004691
"""Summer rain""",https://twitter.com/KIAI4RT/status/1703686865105080534
"Do You Like Horror and Mystery?

Grab these 144 Mysterious Liminal Places Midjourney Prompts

To get it:

1. RT this tweet
2. Reply 'MYSTERY'
3. Follow me 

  

Must follow or can't DM   

P.S.
Grab them while you can",https://twitter.com/ItsAivik/status/1702781915336417720
"Let's get small and create miniature worlds 

It ain't easy being tiny, but someone has to do it. Let's imagine tiny worlds via Midjourney  

Prompt:  Micro tiny sized person next to a macro big sized [Subject], macro photography, beautiful, exaggerated perspective, dynamic… Show more",https://twitter.com/Mr_AllenT/status/1703816732677144619
"Epic Prompt Battle 

Beautiful Disaster or Hope... Finding the light and beauty when everything else is lost.

$25 prize to the winner!

Share your art below",https://twitter.com/HelloUncut/status/1701711741556515011
"Good night, friends",https://twitter.com/maxim_wcg/status/1703846167786787327
"[tranquillity]

images generated in midjourney and videos generated with",https://twitter.com/juliewdesign_/status/1702424767553585516
Air Strike!,https://twitter.com/ai_altdims/status/1702417517367423176
Have a wonderful evening!,https://twitter.com/sharonmawbry/status/1702738231534473430
"Relax and enjoy the view!
Happy weekend!",https://twitter.com/sharonmawbry/status/1702996100636983421
