prompt,link
(remember that everything is normal),https://twitter.com/UnoParticular/status/1708999900426379734
Using a combination of  and  is great for horror,https://twitter.com/Oollecode/status/1707748541895184650
Good night and sweet dreams my friends,https://twitter.com/sanafaham/status/1707884108615930117
I can't wait to see what happens next! Click the link below and join my struggle!,https://twitter.com/elliott_JPEGG/status/1706060465611178024
"Quick Guide to Using Dall-E 3 for Image Generation

 What is it? 
OpenAI's Dall-E 3 can craft images and superimpose text on them - a feature Midjourney doesn't have yet. 

 Cost?
Completely free! Use it without any restrictions. 

 Steps to Access:
Visit… Show more",https://twitter.com/cyberyogi_/status/1708521521621123326
"Diving into the world of avant-garde fashion with an AI aesthetic twist. Like a Picasso masterpiece, female with iridescent skin & electric topaz eyes come to life. Motion in the form of art!    . 
  in Alt.",https://twitter.com/cesar20984/status/1709630037744382033
"""The Deep View turned me from a novice to a ninja in the AI world!"" 
–A transformed DV Reader",https://twitter.com/theDeepView/status/1702280783308964040/analytics
Here is my witch generated with,https://twitter.com/sharonmawbry/status/1708871399996006622
The Charm of Shyness ⁷,https://twitter.com/HypsenV/status/1708924033226449083
so so so nice - https://mag.midjourney.com,https://twitter.com/armahinuwedu1/status/1710431072784355425
This shouldn’t have to be said but we shouldn’t treat people who use things like Bing AI to make “obama vs peter griffin in fortnite” the same as we do grifters who create entire Midjourney instances based on a specific artist’s work and sell it commercially,https://twitter.com/KeetaCat/status/1713315507065995727
"Plato and Picasso fused.  I like the first one except for the text.

Check my bio to learn how to craft the best AI ART image prompts.
    

See this Instagram post by",https://twitter.com/breakmatrix/status/1712669891155706220
"We don't forget what lies behind us, because it makes us who we are.",https://twitter.com/KIAI4RT/status/1709494315402018876
"Sad Robot Diary

Day 99: 

I went to the store today. What I wanted was too high up on the shelf for me to reach. I was too embarrassed to ask for help.",https://twitter.com/Synth_Canvas/status/1709340274345042202
"Great morning!
The sunthistle's beauty is a reminder that the power of creativity lies within us all.",https://twitter.com/beholdersai/status/1713168747974844643
Nothing better to pass the time than doodling in the afternoons,https://twitter.com/Zero_Apatheia/status/1709474253278777577
"We're chillin' today X, HBU?",https://twitter.com/aloeidae/status/1708173353125577087
"Good night, sweet dreams",https://twitter.com/maxim_wcg/status/1708194239450956121
"my good ones
 Let's talk about the Midjourney neural network  
What creative possibilities do you think it has brought to the art world?  
Share your thoughts and inspiration!",https://twitter.com/deranavart/status/1710290198410457266
"Cyborg 
BlackCanvas Ai Art",https://twitter.com/nft_blackcanvas/status/1711762722965107097
"A star of a different music genre, a Country Pop music star.

V5.2",https://twitter.com/artamagig/status/1713571697901662669
"Day 12 of 
Day 13 of 

Doubling down on the days to catch up. These AI tools are amazing. This week, playing around with 

, 

, 

, etc. has been an eye opening experience. I think of all the people who have been working tirelessly to…",https://twitter.com/thomas_hs_lee/status/1712893142947844147
"INTELLECTOBOT
[ experiments with illustrations in video ] 
Using Midjourney + RunwayML

by creativeAIgency",https://twitter.com/CreativeAIgency/status/1707661101331353999
"Battle of the AI image generators. 

I'm going to enter the same exact prompt into Midjourney (

) , Leonardo (

) and Bing Image Creator.

""Photo taken with Nikon 35mm camera, a woman sitting by a window in a retro diner, it is raining outside, rain is…",https://twitter.com/prompt_mastery/status/1708157037715017940
Animal Robot !,https://twitter.com/KCP228/status/1709950832295178483
"A very late GM creators.
May the sun shine for you bright and warm.",https://twitter.com/HO_PDM/status/1708055411792728070
"Pitch a tent under the stars, roast marshmallows over the campfire, and tell stories with friends. 

There's nothing quite like camping to reconnect with nature and your loved ones.",https://twitter.com/Malzahran2/status/1713806975509598363
"Hi there, experimenting with pixel art style for Minecraft inspired 3D scenes rendered in",https://twitter.com/Minecraft2GO_/status/1705154746544185675
splash wave,https://twitter.com/antarcticlion/status/1713263696242459072
"Flowers, city lights, and sunset dreams.",https://twitter.com/Malzahran2/status/1713496439282667879
"Good morning, good afternoon or good evening wherever you are …  from an alternative tree of life ...  

Quote of the day:   

""Be as useful as a tree! Give life to others; be shelter to everyone; grant fruits to all! Be good like a tree!"" - Mehmet Murat Ildan

 …",https://twitter.com/bobcrypto13/status/1712370888237048198
"“Stylized African Benches” by Rolando Cedeño de la Cruz.

Join our upcoming workshop, “Dreaming with AI” which will focus on technical, philosophical, theoretical, and practical aspects of creating design concepts using Midjourney 5.1 as a tool.This workshop will be led by… Show more",https://twitter.com/parametricarch/status/1709074195286471023
"""My boss thinks I'm an AI genius, (I'm not) it's because I read The Deep View (and he has no idea it exists.)"" -Deep View Reader",https://twitter.com/theDeepView/status/1704072338298581360/analytics
"AI fashion design
“Moonlight temperature""

                            …",https://twitter.com/NFTman001/status/1712789604695523816
About us,https://twitter.com/Michael04192304/status/1706890192668574084
"Had a lot of fun with this.

Took a clip from Joe Rogan Experience, the latest episode with George Knapp & Jeremy Corbell, overlayed with an audio clip from Mortal Kombat.",https://twitter.com/bradlivergood/status/1708443762488176734
Amazing to use emoji as  in,https://twitter.com/Malzahran2/status/1709210466495377412
"CAMERA ANGLES IN DALL·E 3

I repeated the same experiment for DALL·E 3 that I did with Midjourney.

When I need a specific composition, I often use the following tokens:  
- Macro 
- Close-up 
- Wide Angle 
- Diagonal Angle 
- Aerial 
- High Angle 
- Low Angle 
- Oblique Angle…",https://twitter.com/ciguleva/status/1709735912144503118
"Today, I'm still exploring Tensor Art.

It's more complicated than Niji or Midjourney but it's worth putting some time to learn.

With this tool, we can make more advanced projects and have more control.",https://twitter.com/EurekaArtworks/status/1713526483346723038
The link between mankind and artificial beings.,https://twitter.com/KCP228/status/1713832450428703165
"She dances through the stars, 
Her gown of stardust swirling,
Weaving beauty cross the sky,
As galaxies are twirling.

More Images here: 
https://behance.net/shahbaz_aiart",https://twitter.com/shahbaz_aiart/status/1709572206328701135
"There's nothing to see here, just a cybernetic dog",https://twitter.com/matifrackowiak/status/1708080247311327529
"/imagine a surrealistic human figure trapped in an ice cube, 35mm fuji color film photography --v 5.2 --ar 9:16 --s 700 (prompty by ""http://frut.ai"" in  magazine issue 5)",https://twitter.com/theolagendijk/status/1709436370295406898
"GM to Europe friends 

[ x 

 part 6]

Say GM to this AI-generated adorable BEANZ with 

 ‘s cute beanz! 

Finally make one looks more like original beanz 

Check sexy version below if you are curious",https://twitter.com/schumichou/status/1705101574811578371
"Starting a business is now easy!

Work more in less time.

Here are 18 AI tools to build your business alone:

Research:

1. ChatGPT
2. Bing Bot
3. Bard

Website:

4. 10Web
5. Wix
6. Webflow

Writing:

7. Rytr
8. Writesonic
9. CopyAI

Image:

10. Midjourney
11. Runway ML
12.… Show more",https://twitter.com/ArmanSpeaks/status/1709146888925225026
"My dad was telling my kid today about the Hatchback of Notre Dame. Kid thought it was a funny slip & asked me to try MidJourney to draw it. Here it is. It's got cathedral + the hatchback, but it fails to integrate them; also: what the heck is happening to the back of the car?!",https://twitter.com/drmichaellevin/status/1710097494770638877
Cloudscapes,https://twitter.com/Elle_Artist__/status/1712417580974223806
Good night everyone.  May the your dreams carry you to magical happy places.  This is “Carousel”. aiart midjourney,https://twitter.com/hildiebird/status/1707992084123394394
"In the aftermath of a flood…

V5.2",https://twitter.com/artamagig/status/1709960007352037623
"summit

 |  |",https://twitter.com/aest_artificial/status/1709184023711322325
Let's start cute,https://twitter.com/KIAI4RT/status/1708021861710266706
"In the symphonic realm…

V5.2",https://twitter.com/artamagig/status/1710311406438920195
I hope you're having a good day! Not like mine - I'm tired as hell,https://twitter.com/maxim_wcg/status/1709547688323383631
Leader,https://twitter.com/Magicianug/status/1705566474101014740
time of peace,https://twitter.com/Basil_Pepper/status/1707524020030320771
God and Godess of lava and earth via Disastrous_Fold8848,https://twitter.com/eye_for_ai/status/1708508508591689846
Please just pay attention to the waves!,https://twitter.com/KIAI4RT/status/1710294588307673459
"The new 

  Gen-2 text to video upgrade is amazing. From my initial experiments  this looks like another game changing release from the Runway team.

Run some of your old prompts through it (even your Midjourney ones) and prepare to be impressed!",https://twitter.com/SteveMills/status/1708083192513896625
"44+ Sales

7x Ratings, All 5 

Grab these 153 Neon portraits Midjourney Prompts

To get it:

1. RT this tweet
2. Reply 'NEON''
3. Follow me",https://twitter.com/ItsAivik/status/1709914691185644021
Street Life |,https://twitter.com/michaelrabone/status/1711700584967881183
"Master AI with these FREE 10 x Courses and Guides: 

Learn Prompting: https://drp.li/vn2zy

GPT-4 Mastery: https://drp.li/83yaT

Midjourney Guide: https://drp.li/A653A

Prompt engineering: https://drp.li/H5afO

Machine Learning: https://drp.li/eudCC",https://twitter.com/powerai_/status/1708800717325279290
"Listed a new piece on Objkt for those in recovery

Attending an AA meeting with a small cat as lead facilitator

30 eds

2.5 tez

Midjourney x Photoshop

I made them inexpensive so more people can collect, I really like this one.",https://twitter.com/shillypreston/status/1710718319601635344
"Could Dall-E 2 create this image or is this Dall-E 3 (made on Bing)
I have no idea, because I use mainly Midjourney :)",https://twitter.com/RealStellaSky/status/1708073284628029600
"Try this  Midjourney Art.

acid lighting, from below, hyperdetailed, hyper realistic, epic action full body portrait Incredible beautiful of

[Prompt is in Alt / Description]

       

Prompt Result.",https://twitter.com/AnimeAuraRealm/status/1709293457053987303
G | Morning ¹¹,https://twitter.com/HypsenV/status/1713145296144773450
"Here are 19 quick terms to get better AI images 

Borrow from photography to maximize the output in Midjourney, SDXL, Runway etc. 

Free cheat sheet",https://twitter.com/LinusEkenstam/status/1709652635333152948
