prompt,link
"Imagine upscaling to 3D, zooming the camera around, and dragging to change your angle and perspective.

Midjourney 3D is going to be wild.",https://twitter.com/nickfloats/status/1702721761790357733
Knight,https://twitter.com/Magicianug/status/1701532572289994877
One day boys!! One day,https://twitter.com/CryptoGiggle/status/1702004714206847470/photo/1
"GM friends!

Kicking off an exciting new series made with Midjourney.

Crafting these 350+ images has been a magical creative journey.

Thank you for all the likes & support so far.

Your encouragement inspires me to keep creating.

Have a beautiful day!",https://twitter.com/dark3web1/status/1704374832819773515
"Created a Star Wars concept film using Pika Labs and Midjourney in just a few hours. It's wild how easy it is to animate the scene using these tools.

-Curious_Refuge",https://twitter.com/The_DailyAi/status/1704468700085235917
"Hey Midjourney, what does a portable multi-lens camera with telephony and media playback capabilities look like?",https://twitter.com/joshuakarthikr/status/1704383327728484602
"""Portrait of artist.""",https://twitter.com/Tazibao22/status/1704432281669046754
"Seeking inspiration for your website's landing page? 

You'll definitely want to try this Midjourney prompt:

modern UI UX [topic] website landing page design, [color]

The secret to the prompt is the color scheme.

The color is extremely important because it can completely… Show more",https://twitter.com/chaseleantj/status/1704469325774770300
"Illusions in Midjourney Tutorial:

A simple process to make Illusions in Midjourney.

Please feel free to share your image below or tag me if you try it. Would love to see what you can make.",https://twitter.com/Nerbts/status/1704263197694505292
"""Cyber Assassins""",https://twitter.com/KIAI4RT/status/1704446332700680239
"[tranquillity]

images generated in midjourney and videos generated with",https://twitter.com/juliewdesign_/status/1702424767553585516
"Daily Cat 9/20/23

How would you caption this adorable image?

(AI Art / Midjourney)",https://twitter.com/MagikChance/status/1704433469198360961
"Images generated on Midjourney.

Maybe it's not art, but it's a fun creation to honor Pepito !",https://twitter.com/panthia0808/status/1703824253248770124
Have a nice evening!,https://twitter.com/sharonmawbry/status/1701660942914707564
"Over the past few months, I've been building http://v0.dev with my team 

. 

It's an AI tool that is effectively Midjourney for React. 

With v0 you can use simple prompts to generate copy-and-paste friendly React , powered by 

 UI and Tailwind CSS.… Show more",https://twitter.com/jaredpalmer/status/1702356555218506070
"PROMPTING IN MIDJOURNEY

Recently, I participated in the competition from Hive3.
Spoiler: I didn't win, but it wasn't the goal. I challenged myself to recreate the apparel style as close to the example as possible.

Let's dive into creating the prompt step by step.",https://twitter.com/ciguleva/status/1702932652658192624
Firefly,https://twitter.com/Magicianug/status/1701596407571042529
"When life is chaotic, I tend to come back to minimalistic images that slow my mind down a bit  

Prompt: 
fall. ultra minimalistic photo. color blocking",https://twitter.com/MidjourneyChris/status/1704488306669474104
Scout,https://twitter.com/Magicianug/status/1704261361667379502
"Whimsical Halloween | Paper Quilling

                … Show more",https://twitter.com/Interiorlogical/status/1704472322986352737
"30 AI tools that can replace your team of 17 people:

1. Research

- ChatGPT
- Perplexity

2. Image

- Leap AI
- Segmind
- Midjourney

3. CopyWriting

- Rytr
- AdCopy
- Copy AI

4. Writing

- Jasper
- Writesonic
- Hemingway

5. Website

- 10Web
- Style AI

6. Video

- Klap
-… Show more",https://twitter.com/HeyAbhishekk/status/1701828782192234602
Have a GRReat Day!!,https://twitter.com/ai_altdims/status/1704042644333363312
"Strong tokens in MidJourney. 

There are some tokens that carry more weight and are more influential than others. Discover these tokens and you'll be able to control the result you're looking for with fewer iterations. 

Two great tokens for photorealism are cinematic + 35mm.… Show more",https://twitter.com/prompt_mastery/status/1702658942348697961
Tokio Night Fashion,https://twitter.com/MadNetDev/status/1704359866779705348
"AI art does not “lack soul.” ChatGPT does, but that’s because it sucks and is primitive. 

What comes out of MidJourney is in fact quite aesthetic and you sound like a pretentious art snob when you try to impose metaphysical concepts onto beauty. Most real human-produced art… Show more",https://twitter.com/stillgray/status/1703382736080445717
"The Illustrators MEGAPACK

I studied dozens of illustrators in 
(so you don't have to)

Join me on a mega ride through their styles

Share the love!
Like, Comment, Tag friends ad Retweet!",https://twitter.com/uriraveh/status/1704157833992761726
It truly is the best medicine.  It’s also contagious.,https://twitter.com/jinx_aiart/status/1704274969255985311
"“The ocean stirs the heart, inspires the imagination and brings eternal joy to the soul.”
~ Robert Wyland

Made with Midjourney, Runway and Canva",https://twitter.com/DailyArtTrends/status/1704225877783986452
Where we at today m8?,https://twitter.com/CryptoGiggle/status/1698575618886230291/photo/1
"prompt▶︎ a illustration of, alley, red paper lanterns, tavern, neon , gustav klimt image, high collar,steampunk, Style like Camille Pissarro's, port city --niji 4",https://twitter.com/azu_aiartist/status/1704116348803039721
It’s late and getting dark,https://twitter.com/AiDeiTies/status/1702460879495733479
"Good morning peeps 

We´re one step closer to the weekend, so let´s start this Wednesday with a big smile!  
Have a fantastic day!",https://twitter.com/MidjourneyChris/status/1704379275573400026
"Surreal mystical garden
Prompt by: 

 
Thank you for sharing the prompt.",https://twitter.com/sharonmawbry/status/1702031860245684469
"When the portal opens, the end comes.",https://twitter.com/TArbalest/status/1703414716788252914
Gm! Here's another image I really like but not sure why.  I'm curious to see if anyone else likes it.,https://twitter.com/Nerbts/status/1701319585809703169
Good morning wherever in the world you are waking up,https://twitter.com/RollVeeTee/status/1703687863357825050
My Face will Haunt you...,https://twitter.com/EhteshamHayat/status/1702726946139021659
"How can AI assist in customizing architectural concepts based on specific cultural, geographical, or demographic needs of a region?

PAACADEMY’s “Midjourney Architecture 4.0” workshop will focus on developing technical and practical skill sets in using AI for architecture. The… Show more",https://twitter.com/parametricarch/status/1704077191259058346
Pool fun,https://twitter.com/KIAI4RT/status/1704112420598264010
"Good morning, X. 
Thinking about what mood to approach the day with.",https://twitter.com/Tazibao22/status/1702189878492950652
Confession,https://twitter.com/aiartjosie/status/1701003368565744005
Tifa x Bloodborne,https://twitter.com/Radio_poodle/status/1704277188168884276
Lingering Secrets,https://twitter.com/aiartjosie/status/1702448050503917575
"Crystal Lights

Pillars of light decorate the skies, emanating from large crystals. They emit a chiming symphony as they gently resonate, filling the air with crystalline song.",https://twitter.com/AethericaArt/status/1703843153243992314
"I asked Midjourney to generate a bunch of vintage travel posters for different cities. 

The results are fantastic I'm  in love with Cairo 

(I realise the text makes no sense but I think it looks cool so it stays )

1. London, England",https://twitter.com/AIwithKieran/status/1703889298129313903
My best Midjourney photo of day 9/365,https://twitter.com/michael_brig/status/1702804232448172407
"It's 4:20 somewhere  

 Let's celebrate this moment with some dope   

Pass this post to your buds & follow for more!",https://twitter.com/HighArtwork/status/1704470461483282596
- Mother and Child -,https://twitter.com/PepengPayatAI/status/1702984251661320474
"Midjourney is the best text-to-image generation tool.

But it has a monthly subscription fee of $20.

Here are 10 Free AI Art Generator you can't afford to miss 

[Bookmark now ]",https://twitter.com/CodeWithNayeem/status/1703726032174674353
Avoid the Syphonfields.,https://twitter.com/TArbalest/status/1703082935857897686
"This one post is doing better than entire blogs I've created. 

It was 100% AI-written.

I added images with MidJourney, and they're on the SERP snippet.

I created a useful quiz plugin using chatGPT and installed it, so that the post was unique to my competition. 

Will it last?",https://twitter.com/sixdigitniche/status/1704232530495295760
"The 12 year old in me wanted to name this piece ""Wet Dreams"". The adult me renamed it to ""Water Bed"". Both are, admittedly, bad names. Good night all.",https://twitter.com/Caelitus_/status/1703227058397069618
"GM Happy Wednesday!

Another AI generated cute BEANZ girl with 

 ‘s adorable beanz! Next one would be 

 ‘s 

Drop your BEANZ below if you want me to try its AI version for you",https://twitter.com/schumichou/status/1704342188572950908
"Series 'The Character is in Absurd Places.'

'Sweetie, could you also bring the salt?'

 |",https://twitter.com/aest_artificial/status/1702004216754225274
"""Summer rain""",https://twitter.com/KIAI4RT/status/1703686865105080534
"""Colossal Battle"" https://deviantart.com/phantastes/art/Colossal-Battle-980474554… Midjourney 5.2 + Digital Blending and Painting",https://twitter.com/DesynArt/status/1701024003169906848
Fall landscape,https://twitter.com/sharonmawbry/status/1704037922406576288
Today marks the night of the Red Death.,https://twitter.com/TArbalest/status/1704457879460454630
At least the aliens back home know what happened to their missing brethren now. What do you think? Real or elaborate stunt?,https://twitter.com/DadHatLabs/status/1702163263151079901
"Something quite interesting going on with Midjourney. I've tried Sanskrit mantras as prompts in the past and this wasn't happening, so something's changed most recently.

It's generating a very curious profusion of detail and other-wordliness with Sanskrit in Devanagari

+",https://twitter.com/saamaanyafreaky/status/1703313773237580084
Fantasy Island,https://twitter.com/sharonmawbry/status/1703046656948682762
Good night Fam,https://twitter.com/CadizFFM/status/1704178824362025018
Stop Daydreaming & Get Back To Work!!,https://twitter.com/ai_altdims/status/1704103043208237179
"Sipping the now, with an eye on the cosmos.",https://twitter.com/koldo2k/status/1702921475991261428
"Relax and enjoy the view!
Happy weekend!",https://twitter.com/sharonmawbry/status/1702996100636983421
Magic Lamp of Aladdin.,https://twitter.com/art_hiss/status/1704348747419865393
"Midjourney and caricatures?...
Well...",https://twitter.com/Psuedoliv1/status/1704079659606974762
"Who needs a team when you have AI?

Here are 14 AI tools every business must have:

1: Research Team:
-ChatGPT
-Bard

2: Image Team:
-Leap AI
-Midjourney.

3: Writing Team:
- Sudowrite
- Rytr

4: Website Team:
-10Web
-Durable.

5: Video Team:
-Klap
-Morph Studio

6: Efficiency… Show more",https://twitter.com/FomoZeke/status/1703374721012924579
Good night. Sweet dreams.,https://twitter.com/rin22cal51yn/status/1703776688205955272
Vibes like that,https://twitter.com/Frederic_gregos/status/1703552464576798847
"Gm.

Love Everyone",https://twitter.com/NowDave_Ai/status/1704131962515128564
Team of female villains in a Tokusatsu series about to be definitively defeated and eliminated by the heroes! My  with,https://twitter.com/scosinus32/status/1704434023236292994
Good morning! Have a wonderful week ahead,https://twitter.com/cap_booya73/status/1703670312045269288
my pieces for equinox submission,https://twitter.com/pactalom/status/1704185941080830154
Goodnight  Dreaming of a  —v 5.3 release soon.,https://twitter.com/DeRosaDesigns/status/1701772720730435748
"Good morning!  
Have an Adventurous Sunday!",https://twitter.com/DeRosaDesigns/status/1703403499042513296
plants live in the world 2,https://twitter.com/Basil_Pepper/status/1700997521303359614
"midjourney is nice, but it's way too random for designing assets.

imagine being able to consistently generate assets that stay on-brand.

that's exactly what i'm building.

v1 is already out.

and 1500+ designers, marketers, and artists are using it today.

but i'm building a… Show more",https://twitter.com/dxlantxch/status/1701280526475338191
Embracing jungle life to the fullest. At least until the bugs come out.,https://twitter.com/Caelitus_/status/1703542679554912332
"Bubbly Friends

Can you imagine an undersea world where your friends are all bubbly talking sea creatures?",https://twitter.com/Caelitus_/status/1703463922206969961
"CONTROL THE COMPOSITION IN MIDJOURNEY WITH VISUAL BALANCE

Other tokens I use to get a particular composition:
- Asymmetrical
- Symmetrical
- Radial

I spent a couple of years in art school, so I got the idea of these tokens from lessons about visual composition.

Note: As with… Show more",https://twitter.com/ciguleva/status/1703276532721156489
"Good afternoon. “Putting on the Mask”. aiart midjourney…. Do you feel the need to mask your vulnerability?  I do.  Do you find that in work situations, people mistrust nuance and grey areas, or uncertainty?  It seems that decisiveness and confidence win, even if it’s fake.  I am… Show more",https://twitter.com/hildiebird/status/1703515432781812206
"GA X’ers.
Hope you are having a good day.",https://twitter.com/OrctonAI/status/1704480201655398803
